0_n,0_p,0_l,1_n,1_p,1_l,2_n,2_p,2_l,3_n,3_p,3_l,4_n,4_p,4_l,5_n,5_p,5_l,6_n,6_p,6_l,7_n,7_p,7_l,8_n,8_p,8_l,9_n,9_p,9_l,10_n,10_p,10_l,11_n,11_p,11_l,12_n,12_p,12_l,13_n,13_p,13_l,14_n,14_p,14_l,15_n,15_p,15_l,16_n,16_p,16_l,17_n,17_p,17_l,18_n,18_p,18_l,19_n,19_p,19_l,20_n,20_p,20_l,21_n,21_p,21_l,22_n,22_p,22_l,23_n,23_p,23_l,24_n,24_p,24_l,25_n,25_p,25_l
FASN,0.0,2.818776,CAV1,0.0,4.0113206,LUM,0.0,3.0010433,IL7R,0.0,4.5806117,TRAC,0.0,2.8427367,CD8A,0.0,5.4653597,CCDC80,0.0,2.7050447,FOXA1,0.0,2.149317,POSTN,0.0,3.3594322,CEACAM6,0.0,3.5575833,LYZ,0.0,4.261432,CD163,0.0,3.9087033,SERPINA3,0.0,2.9437,TOP2A,0.0,3.760804,MYLK,0.0,4.538677,ITM2C,0.0,4.2879543,CEACAM6,0.0,3.1408212,SERPINA3,0.0,3.593949,CXCR4,0.0,2.821242,KRT15,0.0,5.1647854,FCER1G,0.0,3.4533706,CD3E,0.0,2.5540257,ERBB2,6.926739626469547e-244,0.7364575,CEACAM6,0.0,3.0603724,IL7R,0.0,3.2139614,CAVIN2,3.595161259628283e-292,5.4712934
EPCAM,0.0,2.6203468,CD93,0.0,4.463882,MMP2,0.0,3.3056195,CD3E,0.0,4.0531516,IL7R,0.0,3.0725393,CCL5,0.0,4.6148367,LUM,0.0,2.4528415,EPCAM,0.0,2.092663,LUM,0.0,2.7898047,TACSTD2,0.0,2.875373,FGL2,0.0,4.1009865,MRC1,0.0,4.2097573,AGR3,0.0,3.6228397,EPCAM,0.0,2.5147805,KRT14,0.0,5.3774705,TENT5C,0.0,4.130789,TACSTD2,0.0,2.736762,CEACAM6,0.0,3.471201,MS4A1,0.0,6.838049,SFRP1,0.0,4.059485,CD68,0.0,3.457091,CCL5,0.0,2.826505,KRT8,3.4151512761190135e-13,0.56329036,KRT14,0.0,3.0661848,VWF,0.0,3.7820039,MRC1,3.6545718346023946e-268,3.4980514
FOXA1,0.0,2.4517422,PECAM1,0.0,3.9314485,POSTN,0.0,3.131402,TRAC,0.0,3.8622046,CD3E,0.0,2.7405653,CD3E,0.0,3.406282,FBLN1,0.0,2.8232296,GATA3,0.0,1.8409399,PDGFRB,0.0,3.1252506,GATA3,0.0,2.5263305,CD4,0.0,2.870642,CD14,0.0,3.9002893,CCND1,0.0,1.6838491,FOXA1,0.0,2.3229969,DST,0.0,2.8757482,SLAMF7,0.0,5.2423835,KRT8,0.0,2.3836985,GATA3,0.0,2.5369928,BANK1,0.0,6.203858,TACSTD2,0.0,2.9614623,APOC1,0.0,4.251418,PTPRC,0.0,1.9865111,MMP12,9.903228014618495e-06,2.9326222,GATA3,0.0,2.1272676,CD3E,0.0,2.7889051,PECAM1,3.1446292656916797e-264,2.96364
KRT7,0.0,2.4297872,AQP1,0.0,4.4160843,CXCL12,0.0,3.1640165,PTPRC,0.0,3.3311205,PTPRC,0.0,2.1741576,PTPRC,0.0,2.837498,CXCL12,0.0,2.4682877,CCND1,0.0,1.4761648,ACTA2,0.0,2.1647475,CD9,0.0,2.281238,AIF1,0.0,2.9102974,PDK4,0.0,2.910945,SCD,0.0,2.2272527,CENPF,0.0,3.877357,KRT5,0.0,5.333989,MZB1,0.0,4.965789,S100A14,0.0,2.5766628,TACSTD2,0.0,2.3473349,SELL,0.0,3.6768384,KRT23,0.0,5.9428554,LYZ,0.0,2.556455,TRAC,0.0,2.0666652,ELF5,0.004486122470214494,2.4917333,MYLK,0.0,2.410276,PECAM1,0.0,2.8798153,KDR,4.381839684744433e-219,3.869635
SCD,0.0,2.4306085,VWF,0.0,4.8518105,CCDC80,0.0,3.1403255,CXCR4,0.0,3.0965388,CXCR4,0.0,1.9427536,TRAC,0.0,2.809082,SFRP1,0.0,2.728142,KRT7,0.0,1.9483865,RUNX1,0.0,1.9429818,TPD52,0.0,1.7832817,FCER1G,0.0,2.75488,FCER1G,0.0,2.94724,KRT8,0.0,2.0505579,PCLAF,0.0,3.1417007,PTN,0.0,3.8010309,SEC11C,0.0,3.5400417,KRT7,0.0,2.2371504,MLPH,0.0,2.3506136,PTPRC,0.0,2.2805448,KRT7,0.0,2.1950266,HAVCR2,0.0,3.5125005,CD8A,0.0,3.2298603,CTSG,0.05649929819410305,2.3402271,TACSTD2,0.0,2.181792,PTPRC,0.0,2.2526982,CAV1,1.5377020886818398e-207,2.8261611
ABCC11,0.0,2.9351459,CLEC14A,0.0,5.697879,PDGFRA,0.0,3.2209342,CYTIP,0.0,3.1380835,LUM,0.0,1.9955646,CXCR4,0.0,2.3934023,IGF1,0.0,2.6239135,ERBB2,0.0,1.3864044,CRISPLD2,0.0,2.4487715,SCD,0.0,1.9700615,ITGAX,0.0,3.9739451,CD68,0.0,2.8256607,TACSTD2,0.0,2.2160287,FASN,0.0,2.3309648,ACTA2,0.0,2.4308908,PRDM1,0.0,3.34167,CCND1,0.0,1.6969932,SCD,0.0,2.2888613,SMAP2,0.0,2.0194552,KRT6B,0.0,4.183029,ITGAX,0.0,3.496319,CXCR4,0.0,1.7356567,SLC4A1,0.08634999407790202,3.3249993,DST,0.0,1.7457317,AQP1,0.0,2.9975395,RAMP2,2.082360951617714e-188,3.4667852
MLPH,0.0,2.4323823,RAMP2,0.0,5.17468,FBLN1,0.0,3.1940424,CD4,0.0,2.3238437,CCDC80,0.0,1.883399,GZMA,0.0,4.185959,MMP2,0.0,2.1693277,FASN,0.0,1.8136051,ZEB1,0.0,2.1374378,FASN,0.0,1.9669724,PTPRC,0.0,2.1850576,C1QC,0.0,3.305412,FOXA1,0.0,2.0720444,CDH1,0.0,1.8706348,SERPINA3,0.0,2.813906,ERN1,0.0,3.063672,DSP,0.0,2.136877,ESR1,0.0,3.2303872,GPR183,0.0,2.234812,DSC2,0.0,2.8661785,CD4,0.0,2.1331131,IL7R,0.0,1.7908484,CYP1A1,0.19435426381403373,3.6892548,CD9,0.0,1.824014,TRAC,1.2380122998152329e-290,2.4345193,FAM107B,2.5324365080235234e-186,2.0505836
ANKRD30A,0.0,2.1190345,MYLK,0.0,2.470168,PDGFRB,0.0,2.6469903,IL2RG,0.0,2.8306615,POSTN,0.0,1.6982684,CD8B,0.0,4.492288,SFRP4,0.0,2.857028,ANKRD30A,0.0,1.7573587,PDGFRA,0.0,1.8909882,CLDN4,0.0,2.5265765,ZEB2,0.0,1.9457438,CD4,0.0,2.5081003,CDH1,0.0,2.02296,SCD,0.0,1.9124832,KRT6B,0.0,4.7455893,TPD52,0.0,1.9569073,ERBB2,0.0,1.5497732,FLNB,0.0,1.8534037,IL2RG,0.0,2.0457928,PTN,0.0,3.6538432,IGSF6,0.0,2.8201017,GZMA,0.0,2.6391156,CXCL5,0.4268635590869417,2.4366117,SERPINA3,0.0,2.1657043,CD93,2.3884652468587654e-264,2.7999866,VWF,1.1450329206349779e-179,3.0376618
SERHL2,0.0,2.6187341,KDR,0.0,4.863097,IGF1,0.0,2.6676512,GPR183,0.0,2.8746667,CXCL12,0.0,1.6885153,IL7R,0.0,2.5139914,ADH1B,0.0,3.6009803,KRT8,0.0,1.7193041,SVIL,0.0,1.6536257,ANKRD30A,0.0,1.8743261,MNDA,0.0,3.4812717,AIF1,0.0,2.633274,MLPH,0.0,2.106765,KRT7,0.0,1.9643803,MYH11,0.0,4.331053,CD79A,0.0,5.017065,TCIM,0.0,2.0865908,ANKRD30A,0.0,1.9942127,CD19,0.0,5.8016157,SERPINA3,0.0,2.3276258,C1QC,0.0,2.7083714,CD3G,0.0,2.3866968,CPA3,0.45736753399299596,1.8078266,DSP,0.0,1.7368455,CXCR4,2.8233778039610242e-244,1.9318725,ANGPT2,9.455887014246939e-179,4.732529
ERBB2,0.0,1.5744975,MMRN2,0.0,5.2735133,CRISPLD2,0.0,2.640991,KLRB1,0.0,3.4658735,KLRB1,0.0,2.7757564,KLRD1,0.0,4.7788663,PDGFRA,0.0,2.1428375,TCIM,0.0,1.7599733,MMP2,0.0,1.6334585,KRT8,0.0,1.8963367,IGSF6,0.0,2.8743093,FGL2,0.0,2.6132042,TENT5C,0.0,1.9935168,MDM2,0.0,1.4241912,SFRP1,0.0,2.8940654,CCPG1,0.0,2.0286756,CDH1,0.0,2.0004907,S100A14,0.0,1.982168,SPIB,0.0,4.5819225,KRT14,0.0,2.9192274,AIF1,0.0,2.0020697,CYTIP,0.0,1.6607009,MUC6,0.617406707100757,2.5040183,S100A14,0.0,1.7503198,CAV1,4.351958285536354e-174,2.0677006,TCF4,5.230548565263737e-164,2.2811239
KRT8,0.0,2.0177097,TCF4,0.0,2.4519663,SFRP4,0.0,2.5571623,S100A4,0.0,2.1137445,S100A4,0.0,1.7077763,IL2RG,0.0,2.365118,PTGDS,0.0,2.0635366,MLPH,0.0,1.751501,GJB2,0.0,3.9895928,KLF5,0.0,2.402855,CD68,0.0,2.201413,C1QA,0.0,3.457671,ANKRD30A,0.0,1.8600196,MKI67,0.0,3.048091,KRT15,0.0,3.3832288,PECAM1,0.0,2.3129795,EPCAM,0.0,1.8010021,AGR3,0.0,2.970072,PTGDS,0.0,1.9611181,KRT5,0.0,3.3956268,FCGR3A,0.0,3.1324995,S100A4,0.0,1.4035063,UCP1,0.6209862008133484,2.9425392,KRT8,0.0,1.7216306,IL2RG,1.2376073312042273e-170,2.0985568,IGF1,8.999665023935896e-162,2.3529522
CD9,0.0,1.8985404,ACTA2,0.0,2.040525,BASP1,0.0,1.7132275,FAM107B,0.0,1.8561798,CYTIP,0.0,1.9239475,CYTIP,0.0,2.263944,POSTN,0.0,1.7573321,ABCC11,0.0,1.9226161,TCF4,0.0,1.6860955,MLPH,0.0,1.9120123,PDK4,0.0,1.940577,ZEB2,0.0,1.9126618,ERBB2,0.0,1.4369184,ANKRD30A,0.0,1.7333536,DSP,0.0,2.0135853,CYTIP,0.0,2.0700958,LYPD3,0.0,1.7402836,TPD52,0.0,1.6923231,CYTIP,0.0,1.7447395,ALDH1A3,0.0,3.4146686,CXCL16,0.0,2.328278,IL2RG,0.0,1.6109611,AHSP,0.6847752623919661,3.1953273,MLPH,0.0,1.7111865,S100A4,5.611106157484427e-165,1.6998107,WARS,6.854572594906576e-140,1.9660137
GATA3,0.0,1.9187051,ZEB2,0.0,1.7245147,PTGDS,0.0,2.0592833,CD3D,0.0,3.4004023,CD4,0.0,1.6194781,CD69,0.0,2.8385868,PDGFRB,0.0,1.6119807,SERHL2,0.0,1.7274896,LRRC15,0.0,2.8939562,KRT7,0.0,1.9350873,HAVCR2,0.0,3.068722,CXCL12,0.0,1.8365072,EPCAM,0.0,1.9067729,GATA3,0.0,1.7106365,KRT16,0.0,4.731916,CD27,0.0,3.5411375,TPD52,0.0,1.35611,KRT8,0.0,1.8866476,CD79A,0.0,3.9720926,KIT,0.0,3.989031,FGL2,0.0,1.9186995,CD69,0.0,1.9374382,MPO,0.6997472114526825,2.9360876,KRT7,0.0,1.7966597,RAMP2,7.421141674166071e-160,3.1848888,FBLIM1,3.377581360897937e-106,2.3482475
CCND1,0.0,1.5222137,NOSTRIN,0.0,4.5122595,ZEB2,0.0,1.4981194,CD247,0.0,3.3733747,GPR183,0.0,1.9249544,S100A4,0.0,1.8561093,PDK4,0.0,1.5495205,AR,0.0,1.7278836,CCDC80,0.0,1.3080533,LYPD3,0.0,1.9318641,CD86,0.0,2.920181,LYZ,0.0,1.9074645,DSP,0.0,1.757702,MLPH,0.0,1.8250216,ACTG2,0.0,1.692015,SEC24A,0.0,1.8105963,DSC2,0.0,1.7051694,CD9,0.0,1.7105857,ZEB2,0.0,1.1671472,CLDN4,0.0,2.085885,CD163,0.0,2.1842992,CD3D,0.0,2.001194,MYBPC1,0.7091662724550684,1.7985315,KRT5,0.0,2.4406517,MYLK,3.4921653754506755e-157,1.9488618,EGFL7,4.205738644235877e-103,4.228888
MYO5B,0.0,2.0806067,ZEB1,0.0,1.9935778,EGFR,0.0,2.2805042,CD69,0.0,3.1120028,IL2RG,0.0,1.7942021,CD3G,0.0,2.9046426,DPT,0.0,2.217527,CD9,0.0,1.3513111,ENAH,0.0,1.133301,EPCAM,0.0,1.918096,CD163,0.0,2.5859761,CCDC80,0.0,1.7737962,CEACAM6,0.0,1.948076,ERBB2,0.0,1.3604062,RUNX1,0.0,1.6107858,TNFRSF17,0.0,5.5263987,CTTN,0.0,1.0262146,FOXA1,0.0,1.8762512,LTB,0.0,3.0134993,DSP,0.0,1.5623564,CD14,0.0,2.1322212,CD247,0.0,2.010222,APOBEC3A,0.7814181787652734,1.9675585,ACTA2,0.0,1.3622175,CYTIP,5.384875484695486e-150,1.9281372,BACE2,6.741869919647798e-101,2.013529
CTTN,0.0,1.467204,HOXD9,0.0,5.265603,DPT,0.0,2.2495916,CD3G,0.0,3.178367,PTGDS,0.0,1.7068623,CD3D,0.0,2.6746686,TCF4,0.0,1.3442696,ENAH,0.0,1.2484218,ZEB2,0.0,1.1827439,ABCC11,0.0,2.018715,GLIPR1,0.0,2.026335,IGSF6,0.0,2.138551,LYPD3,0.0,1.7691908,ABCC11,0.0,1.9539125,TACSTD2,0.0,1.6716319,RAB30,0.0,2.8689466,AGR3,0.0,2.1512809,MZB1,0.0,2.2908275,FAM107B,0.0,1.3286792,CDH1,0.0,1.3090136,CD86,0.0,2.3164268,KLRD1,1.4898827802779797e-263,2.8765934,TCF15,0.7975835904158786,2.0541804,TPD52,0.0,1.3924862,LDHB,1.9133681069574935e-138,1.5390693,EDNRB,1.3734789697736367e-97,2.5486941
CDH1,0.0,1.7645277,PPARG,0.0,2.5874531,MEDAG,0.0,3.1149995,LDHB,0.0,1.7690817,CD247,0.0,2.3478441,KLRC1,0.0,4.354144,CRISPLD2,0.0,1.45213,CTTN,0.0,1.1359196,FBLIM1,0.0,1.8537714,CDH1,0.0,1.7157142,MRC1,0.0,2.6152732,LUM,0.0,1.5609561,S100A14,0.0,1.643011,KRT8,0.0,1.708811,KRT7,0.0,1.580494,DERL3,0.0,5.4633446,MLPH,0.0,1.2106283,FASN,0.0,1.7201655,BASP1,0.0,1.1878052,CD9,0.0,1.1736536,SMS,0.0,1.2019356,CD8B,3.1334499780059365e-239,2.4394102,CRHBP,0.8583518867326702,3.36358,LYPD3,0.0,1.6592311,ZEB2,3.54380399369831e-133,1.3991759,MMP2,5.715078463949872e-97,1.5610934
TCIM,0.0,1.8000827,HOXD8,0.0,2.186485,TCF4,0.0,1.4539849,CCR7,0.0,3.5650291,CD3D,0.0,2.2809715,CD247,0.0,2.6036205,EGFR,0.0,1.6138082,MYO5B,0.0,1.4246083,CAV1,0.0,1.1255417,S100A14,0.0,1.6591506,SMAP2,0.0,1.5724056,ITGAM,0.0,2.8926435,GATA3,0.0,1.5148151,MYO5B,0.0,1.7466298,EGFR,0.0,2.2509537,TRIB1,0.0,2.0374985,BACE2,0.0,1.6537294,SMS,0.0,1.4845736,CXCL12,0.0,0.9850567,SLC5A6,0.0,1.669951,ZEB2,0.0,1.1619807,LPXN,2.696072312822229e-205,1.337522,LEP,0.9262624686013856,1.4740024,MYH11,0.0,2.4656708,ACTA2,1.2195422080830285e-129,1.4727583,DST,3.063875345373421e-95,1.2600822
